id,board_id,title,status_id,order
1,1,"new card 1",0,0
2,1,"new card 2",0,1
3,1,"in progress card",1,0
4,1,"planning",2,0
5,1,"done card 1",3,0
6,1,"done card 1",3,1
7,2,"new card 1",0,0
8,2,"new card 2",0,1
9,2,"in progress card",1,0
10,2,"planning",2,0
11,2,"done card 1",3,0
12,2,"done card 1",3,1
13,2,"new card",0,0
14,2,"new card",0,0
15,1,"new card",0,0
16,1,"new card",0,0
17,1,"new card 17",0,0
18,1,"new card 18",0,0
19,1,"new card 19",0,0
20,1,"new card",0,0
21,1,"new card",0,0
22,2,"new card",0,0
23,2,"new card",0,0
24,3,"new card",0,0
25,3,"new card",0,0
26,3,"new card",0,0
27,3,"new card",0,0
24,3,"new card",0,0
24,1,"new card",0,0
25,1,"new card",0,0
26,5,"new card",0,0
